    100     25     25     25 0.9625E-02 0.1072E-02 0.9128E-07
    200     25     25     25 -.9256E-03 0.1757E-02 0.4193E-07
    300     25     25     25 0.3522E-02 0.9037E-03 -.2020E-06
    400     25     25     25 0.3568E-02 -.8763E-03 0.1061E-06
    500     25     25     25 -.4493E-02 -.3215E-02 -.3788E-09
    600     25     25     25 0.5551E-02 -.4775E-02 -.3295E-06
    700     25     25     25 -.3495E-02 -.5989E-02 0.2266E-06
    800     25     25     25 0.6778E-02 -.7150E-02 -.3158E-07
    900     25     25     25 0.1582E-02 -.8289E-02 0.9480E-07
   1000     25     25     25 0.6746E-02 -.1047E-01 0.7483E-06
   1100     25     25     25 0.1651E-01 -.1248E-01 0.1299E-05
   1200     25     25     25 0.1034E-01 -.1743E-01 0.1663E-07
   1300     25     25     25 0.5893E-02 -.2993E-01 -.1408E-05
   1400     25     25     25 -.5558E-02 -.3093E-01 0.2206E-07
   1500     25     25     25 0.3645E-02 -.2941E-01 -.1784E-05
   1600     25     25     25 0.1133E-02 -.2597E-01 -.1559E-05
   1700     25     25     25 0.2446E-02 -.2452E-01 -.1087E-05
   1800     25     25     25 0.7809E-02 -.2404E-01 -.3587E-06
   1900     25     25     25 0.4442E-02 -.2823E-01 0.1453E-05
   2000     25     25     25 0.1955E-01 -.4848E-01 0.2214E-04
   2100     25     25     25 0.2391E-02 -.6354E-01 -.1396E-05
   2200     25     25     25 0.4235E-02 -.6201E-01 0.7018E-06
   2300     25     25     25 0.2084E-02 -.4887E-01 0.2153E-06
   2400     25     25     25 0.2212E-02 -.4026E-01 -.1085E-05
   2500     25     25     25 0.7316E-02 -.3515E-01 -.1399E-06
   2600     25     25     25 0.1498E-02 -.3383E-01 0.3329E-05
   2700     25     25     25 0.9157E-02 -.4179E-01 0.5761E-05
   2800     25     25     25 0.2859E-02 -.6820E-01 0.2628E-04
   2900     25     25     25 0.6083E-02 -.6919E-01 -.2120E-05
   3000     25     25     25 0.6457E-02 -.6390E-01 -.7444E-06
   3100     25     25     25 0.4390E-02 -.4927E-01 -.2499E-05
   3200     25     25     25 0.8589E-02 -.4125E-01 -.1394E-05
   3300     25     25     25 0.2247E-02 -.3746E-01 -.9361E-06
   3400     25     25     25 0.5824E-02 -.4000E-01 0.1214E-05
   3500     25     25     25 -.3694E-02 -.6446E-01 -.8131E-05
   3600     25     25     25 0.5593E-02 -.7318E-01 -.1547E-05
   3700     25     25     25 0.1088E-01 -.6020E-01 -.1328E-05
   3800     25     25     25 0.6604E-02 -.4697E-01 -.9038E-06
   3900     25     25     25 0.9641E-02 -.3998E-01 -.1370E-05
   4000     25     25     25 0.2970E-02 -.3652E-01 -.1804E-06
   4100     25     25     25 0.3464E-02 -.3735E-01 0.4277E-05
   4200     25     25     25 -.8941E-02 -.4319E-01 0.2750E-05
   4300     25     25     25 0.7642E-02 -.4839E-01 -.8925E-06
   4400     25     25     25 0.1192E-01 -.4418E-01 -.3887E-05
   4500     25     25     25 0.6980E-02 -.3792E-01 -.4022E-05
   4600     25     25     25 0.9493E-02 -.3421E-01 -.2131E-05
   4700     25     25     25 0.2790E-02 -.3250E-01 -.2868E-05
   4800     25     25     25 0.1131E-02 -.3163E-01 0.3929E-08
   4900     25     25     25 -.2713E-02 -.2747E-01 0.1594E-05
   5000     25     25     25 0.7578E-02 -.2954E-01 -.2602E-05
