1	0.03720	0.00508	0.01846	0.00100
1	0.03500	0.00744	0.01870	0.00100
1	0.03526	0.01100	0.01896	0.00100
1	0.03668	0.01282	0.01888	0.00100
1	0.03736	0.01706	0.01878	0.00100
1	0.03900	0.00350	0.01890	0.00100
1	0.03898	0.00676	0.01892	0.00100
1	0.03512	0.01492	0.01922	0.00100
1	0.03704	0.00949	0.01904	0.00100
1	0.03762	0.00110	0.01906	0.00100
1	0.03874	0.01107	0.01924	0.00100
1	0.03890	0.01908	0.01948	0.00100
1	0.03526	0.00686	0.01538	0.00100
1	0.03522	0.01494	0.01534	0.00100
1	0.03528	0.01976	0.01536	0.00100
1	0.03694	0.00094	0.01514	0.00100
1	0.03748	0.00938	0.01534	0.00100
1	0.03720	0.01274	0.01506	0.00100
1	0.03516	0.00468	0.01670	0.00100
1	0.03544	0.01330	0.01692	0.00100
1	0.03650	0.01092	0.01690	0.00100
1	0.03706	0.01512	0.01684	0.00100
1	0.03884	0.00518	0.01682	0.00100
1	0.03900	0.00893	0.01664	0.00100
1	0.03690	0.00678	0.01744	0.00100
1	0.03732	0.00346	0.01706	0.00100
1	0.03720	0.01944	0.01718	0.00100
1	0.03876	0.00080	0.01718	0.00100
1	0.03874	0.01294	0.01708	0.00100
1	0.03856	0.01534	0.01926	0.00100
1	0.03856	0.01736	0.01656	0.00100
1	0.03146	0.00062	0.01752	0.00100
1	0.03278	0.00850	0.01826	0.00100
1	0.03012	0.01478	0.01880	0.00100
1	0.03086	0.00288	0.01870	0.00100
1	0.03370	0.00432	0.01872	0.00100
1	0.03114	0.01144	0.01904	0.00100
1	0.03100	0.01838	0.01926	0.00100
1	0.03294	0.00078	0.01934	0.00100
1	0.03454	0.00246	0.01920	0.00100
1	0.03160	0.00722	0.01960	0.00100
1	0.03082	0.00692	0.01538	0.00100
1	0.03100	0.01125	0.01522	0.00100
1	0.03144	0.01530	0.01522	0.00100
1	0.03030	0.00856	0.01688	0.00100
1	0.03044	0.00474	0.01720	0.00100
1	0.03098	0.01706	0.01702	0.00100
1	0.03104	0.01290	0.01746	0.00100
1	0.03314	0.00216	0.01704	0.00100
1	0.03476	0.00092	0.01724	0.00100
1	0.03466	0.00871	0.01714	0.00100
1	0.03342	0.01294	0.01912	0.00100
1	0.03452	0.01900	0.01910	0.00100
1	0.03302	0.01718	0.01954	0.00100
1	0.03676	0.00316	0.01290	0.00100
1	0.03660	0.01152	0.01276	0.00100
1	0.03524	0.00066	0.01322	0.00100
1	0.03516	0.01718	0.01342	0.00100
1	0.03690	0.00716	0.01336	0.00100
1	0.03666	0.01876	0.01334	0.00100
1	0.03728	0.01486	0.01318	0.00100
1	0.03846	0.00460	0.01302	0.00100
1	0.03694	0.01716	0.01492	0.00100
1	0.03710	0.00494	0.01464	0.00100
1	0.03898	0.00288	0.01466	0.00100
1	0.03300	0.01294	0.01532	0.00100
1	0.03470	0.01078	0.01524	0.00100
1	0.03460	0.01748	0.01688	0.00100
1	0.03290	0.01129	0.01700	0.00100
1	0.03280	0.01506	0.01716	0.00100
1	0.03328	0.00678	0.01704	0.00100
1	0.03320	0.01934	0.01738	0.00100
1	0.03508	0.00686	0.01078	0.00100
1	0.03506	0.01886	0.01098	0.00100
1	0.03636	0.00068	0.01101	0.00100
1	0.03682	0.00526	0.01104	0.00100
1	0.03676	0.00909	0.01108	0.00100
1	0.03702	0.01308	0.01146	0.00100
1	0.03688	0.01666	0.01169	0.00100
1	0.03868	0.00900	0.01294	0.00100
1	0.03876	0.01282	0.01276	0.00100
1	0.03884	0.01650	0.01288	0.00100
1	0.03848	0.00140	0.01326	0.00100
1	0.03882	0.01892	0.01446	0.00100
1	0.03880	0.00638	0.01500	0.00100
1	0.03896	0.01136	0.01486	0.00100
1	0.03868	0.01476	0.01478	0.00100
1	0.03534	0.01504	0.01066	0.00100
1	0.03874	0.00298	0.01083	0.00100
1	0.03888	0.01172	0.01092	0.00100
1	0.03892	0.01852	0.01063	0.00100
1	0.03848	0.01448	0.01114	0.00100
1	0.03882	0.00660	0.01102	0.00100
1	0.03074	0.00556	0.01278	0.00100
1	0.03094	0.01296	0.01288	0.00100
1	0.03084	0.00148	0.01316	0.00100
1	0.03082	0.00939	0.01316	0.00100
1	0.03074	0.00334	0.01456	0.00100
1	0.03072	0.01884	0.01500	0.00100
1	0.03112	0.00684	0.01039	0.00100
1	0.03072	0.00358	0.01083	0.00100
1	0.03286	0.00312	0.01274	0.00100
1	0.03474	0.00912	0.01282	0.00100
1	0.03282	0.01912	0.01318	0.00100
1	0.03312	0.01117	0.01300	0.00100
1	0.03400	0.01516	0.01320	0.00100
1	0.03472	0.00450	0.01308	0.00100
1	0.03464	0.01276	0.01332	0.00100
1	0.03336	0.00714	0.01352	0.00100
1	0.03294	0.01664	0.01436	0.00100
1	0.03302	0.00162	0.01444	0.00100
1	0.03292	0.00512	0.01460	0.00100
1	0.03296	0.00919	0.01454	0.00100
1	0.03498	0.00328	0.01486	0.00100
1	0.03514	0.00068	0.00875	0.00100
1	0.03508	0.00942	0.00862	0.00100
1	0.03516	0.00514	0.00942	0.00100
1	0.03640	0.00344	0.00938	0.00100
1	0.03700	0.00678	0.00969	0.00100
1	0.03258	0.01306	0.01069	0.00100
1	0.03288	0.01718	0.01065	0.00100
